transaction_id,order_id,payment_method,amount,transaction_date
1,2,card,6091.68,2024-03-09
2,3,card,3810.25,2025-09-03
3,4,upi,995.48,2024-12-04
4,6,card,999.52,2023-04-27
5,7,upi,1653.96,2025-06-07
6,8,card,6295.28,2023-12-03
7,10,card,330.98,2024-11-22
8,11,upi,8097.54,2023-12-04
9,12,upi,1527.51,2025-04-16
10,13,card,4326.08,2025-02-16
11,15,upi,255.46,2024-11-06
12,17,upi,2699.18,2024-12-27
13,19,upi,1163.08,2023-11-19
14,20,cod,994.76,2025-09-01
15,21,upi,809.64,2025-05-18
16,22,upi,2940.86,2023-11-13
17,23,upi,3501.3,2024-08-05
18,24,card,3403.02,2024-01-08
19,25,upi,7090.76,2025-07-09
20,26,card,1503.83,2023-03-24
21,27,card,1887.98,2023-02-04
22,28,wallet,2976.06,2025-12-30
23,29,upi,14597.55,2023-10-17
24,30,upi,3399.2,2023-10-20
25,31,card,367.03,2025-08-11
26,32,wallet,4890.36,2025-10-15
27,33,card,2041.2,2024-11-12
28,34,card,983.3,2023-08-23
29,35,card,3555.66,2023-10-30
30,37,upi,4030.96,2023-01-03
31,38,upi,12571.6,2023-02-01
32,39,card,1221.63,2024-05-17
33,41,cod,4466.43,2023-06-19
34,42,wallet,2413.14,2023-01-28
35,43,upi,536.92,2023-08-28
36,44,card,407.48,2023-05-10
37,45,upi,1500.81,2023-04-12
38,46,card,3374.7,2023-11-09
39,48,wallet,1236.26,2023-05-18
40,49,cod,1354.9,2023-05-23
41,50,upi,1007.74,2023-02-11
42,51,upi,2920.22,2024-06-28
43,52,card,4650.54,2023-03-25
44,53,cod,3179.64,2024-12-15
45,54,card,1500.81,2025-10-24
46,55,card,3403.02,2023-09-23
47,56,upi,7140.1,2023-10-07
48,57,card,1506.0,2025-03-28
49,59,wallet,1523.35,2023-03-08
50,60,wallet,342.26,2025-11-17
51,61,upi,2036.25,2023-02-13
52,62,upi,1236.26,2024-10-08
53,63,upi,4214.14,2023-09-15
54,66,upi,1632.44,2024-09-11
55,67,upi,1541.48,2024-06-29
56,68,upi,1102.64,2024-04-12
57,69,wallet,5115.72,2024-06-16
58,70,cod,3018.88,2024-05-17
59,71,cod,367.87,2023-11-25
60,72,card,589.14,2024-06-10
61,73,card,512.78,2023-06-27
62,74,wallet,1410.66,2023-06-15
63,75,upi,2972.13,2024-10-23
64,76,upi,481.32,2024-06-14
65,77,wallet,3937.5,2024-11-04
66,78,cod,2595.86,2024-09-05
67,79,wallet,241.79,2024-11-17
68,81,upi,678.75,2025-12-20
69,82,upi,309.54,2023-11-12
70,83,upi,3253.1,2023-11-05
71,84,wallet,781.41,2023-11-24
72,85,card,7184.76,2023-02-13
73,86,wallet,4651.05,2025-12-26
74,87,card,1872.12,2025-08-21
75,89,upi,2413.14,2024-06-01
76,90,upi,3361.16,2025-07-29
77,91,cod,1631.97,2025-06-08
78,92,card,847.54,2023-10-01
79,93,wallet,412.56,2024-09-20
80,94,upi,2438.18,2023-03-16
81,95,upi,1287.88,2025-06-23
82,96,upi,678.75,2024-01-23
83,97,card,980.98,2025-07-30
84,98,cod,1334.78,2024-11-28
85,99,card,4970.3,2024-10-19
86,100,card,1215.1,2023-11-21
87,101,upi,1650.24,2025-05-26
88,102,card,1444.22,2023-09-29
89,103,cod,790.17,2023-06-16
90,104,card,5103.0,2023-12-21
91,105,upi,9302.1,2025-01-09
92,106,upi,631.3,2025-03-11
93,108,wallet,735.24,2025-11-07
94,109,upi,1132.48,2023-09-15
95,110,wallet,1333.96,2025-10-02
96,111,card,877.84,2024-10-07
97,113,upi,1286.6,2023-04-17
98,114,cod,995.48,2024-11-07
99,115,card,2972.13,2024-07-06
100,116,cod,1678.54,2023-09-01
101,117,upi,1680.18,2025-04-12
102,118,upi,1141.95,2024-06-21
103,119,wallet,915.74,2025-09-09
104,120,wallet,3121.08,2025-08-08
105,122,card,1132.68,2023-12-29
106,123,wallet,1039.82,2023-11-10
107,124,upi,1062.42,2025-04-06
108,125,upi,6259.97,2025-08-02
109,126,cod,6964.75,2025-06-11
110,127,card,428.35,2023-01-02
111,128,cod,2091.38,2024-11-19
112,130,upi,1405.13,2025-12-24
113,131,card,1668.68,2025-10-15
114,132,cod,3699.96,2024-02-05
115,134,card,1474.75,2023-05-16
116,135,upi,197.92,2024-10-03
117,136,upi,1022.1,2024-12-19
118,137,upi,10620.78,2025-03-18
119,138,cod,2752.1,2023-06-29
120,139,wallet,5398.36,2024-10-01
121,140,card,1303.54,2025-02-11
122,141,upi,2118.86,2025-07-12
123,142,upi,3327.0,2023-01-22
124,143,upi,1036.16,2024-07-13
125,145,wallet,817.06,2024-09-29
126,147,cod,1388.26,2024-03-17
127,148,upi,1509.44,2025-12-04
128,149,upi,6095.45,2024-12-07
129,150,upi,1549.72,2023-12-21
130,151,wallet,497.94,2025-11-22
131,152,cod,1554.24,2024-01-13
132,153,upi,734.06,2025-05-24
133,154,card,1246.66,2025-04-10
134,155,upi,4837.68,2023-06-22
135,156,wallet,556.78,2024-01-20
136,157,card,2976.4,2023-10-23
137,158,card,2113.35,2025-11-30
138,159,cod,3327.0,2024-05-04
139,160,cod,1988.12,2025-10-01
140,161,upi,3121.08,2024-11-25
141,162,upi,1248.4,2025-05-04
142,163,upi,2054.5,2023-10-19
143,164,card,566.24,2024-02-26
144,165,card,4513.94,2025-07-19
145,166,card,3540.26,2025-02-19
146,167,cod,3470.96,2025-11-10
147,168,upi,524.55,2025-05-17
148,170,card,500.27,2025-01-09
149,171,upi,2141.0,2023-11-21
150,172,card,5692.64,2023-06-28
151,173,upi,1654.95,2024-11-10
152,174,card,7079.55,2024-11-10
153,175,upi,356.41,2025-09-13
154,176,upi,1958.07,2023-11-06
155,178,cod,3258.85,2025-11-10
156,179,cod,283.17,2024-07-07
157,180,upi,1139.14,2024-07-12
158,181,upi,1154.92,2024-12-20
159,182,cod,8008.65,2023-01-11
160,183,card,481.32,2023-08-25
161,184,cod,2997.42,2025-11-02
162,185,cod,1635.87,2023-06-08
163,186,upi,2892.15,2025-11-11
164,188,card,7985.04,2023-03-17
165,190,wallet,4902.36,2023-12-09
166,191,cod,2541.68,2025-01-01
167,192,card,1049.1,2025-11-16
168,193,card,3418.72,2023-12-14
169,194,upi,3046.7,2023-06-24
170,195,upi,1078.99,2025-11-17
171,196,wallet,2203.83,2025-05-11
172,198,upi,8719.95,2025-08-24
173,199,wallet,3955.02,2024-09-02
174,200,upi,5753.01,2023-05-09
175,201,cod,1206.52,2024-02-23
176,202,card,2607.08,2025-04-01
177,203,wallet,995.48,2023-12-18
178,204,wallet,4837.68,2024-12-17
179,205,cod,685.17,2023-08-13
180,206,upi,1233.58,2025-05-22
181,207,cod,1182.15,2023-09-19
182,208,card,1911.87,2024-01-03
183,209,card,1111.32,2025-05-11
184,210,wallet,1943.9,2023-09-09
185,212,wallet,3567.98,2025-06-30
186,213,upi,4785.96,2024-12-13
187,214,upi,2752.1,2023-04-08
188,216,wallet,620.2,2025-05-10
189,217,cod,1720.56,2023-03-08
190,219,wallet,2656.38,2023-03-18
191,220,wallet,8343.4,2023-09-04
192,221,card,2496.8,2024-11-29
193,222,cod,2262.63,2023-12-11
194,223,card,9433.92,2023-02-01
195,224,card,2614.47,2024-12-22
196,225,cod,1928.1,2024-11-05
197,226,upi,2646.9,2024-09-27
198,227,cod,3012.0,2024-11-17
199,228,card,1049.18,2024-12-09
200,229,upi,2359.85,2023-09-06
201,231,wallet,290.85,2024-03-16
202,232,card,8321.97,2023-01-21
203,233,cod,3786.76,2024-04-13
204,234,card,728.96,2025-07-25
205,235,upi,11539.14,2023-05-14
206,236,cod,428.35,2025-01-21
207,237,cod,4083.57,2024-11-22
208,238,card,16680.5,2025-08-19
209,239,upi,5549.94,2024-09-02
210,240,wallet,9499.74,2025-01-23
211,241,wallet,1632.44,2025-04-29
212,242,upi,1046.04,2024-11-24
213,244,upi,1937.44,2025-11-15
214,245,cod,1516.5,2024-06-29
215,246,cod,1612.56,2023-10-07
216,247,upi,1068.04,2025-08-20
217,249,card,419.58,2024-02-20
218,250,upi,1899.22,2025-03-31
219,251,upi,4513.94,2024-06-20
